Отметка времени,"1. Название района республики, в котором Вы проживаете:","2. Название города (села или другого населенного пункта), в котором Вы проживаете",3. Тип населенного пункта,4. Ваш пол:,5. Ваш возраст (количество полных лет):,6. Уровень Вашего образования (ОДИН ответ):,7. Каков Ваш социальный статус (ОДИН ответ)?,8. Каков Ваш социальный статус (ОДИН ответ)?,9. Каков Ваш социальный статус (ОДИН ответ)?,10. Каков Ваш социальный статус (ОДИН ответ)?,11. Каков Ваш социальный статус (ОДИН ответ)?,12. Ваше семейное положение (ОДИН ответ):,13. Какое высказывание точнее описывает материальное положение Вашей семьи в настоящее время (ОДИН ответ)?,"14. Как Вы считаете, большинству людей можно доверять или в отношениях с людьми следует быть осторожными (ОДИН ОТВЕТ)?","15. Если говорить о людях, которые окружают лично Вас, большинству из них можно доверять или в отношениях с ними стоит быть осторожными?",[Телевидение],[Телевидение].1,[Объединенный] Телевидение,[Интернет-издания],[Интернет-издания].1,[Объединенный] Интернет-издания,[Социальные сети],[Социальные сети].1,[Объединенный] Социальные сети,[Друзья],[Друзья].1,[Объединенный] Друзья,[Газеты],[Газеты].1,[Объединенный] Газеты,[Радио],[Радио].1,[Объединенный] Радио,[Журналы],[Журналы].1,[Объединенный] Журналы,[Телеграм-каналы],[Телеграм-каналы].1,[Объединенный] Телеграм-каналы,"16. Вспомните, пожалуйста, названия двух-трех конкретных источников, из которых Вы обычно получаете новости (напишите)?","17. Скажите, пожалуйста, Вы слышали или не слышали выражение «фейковые новости» (ОДИН ответ)?","18. Что такое «фейковые новости»? Расскажите в двух-трех словах, как Вы понимаете это выражение (напишите)?","19. Скажите, сталкивались ли Вы за последний год с подобного рода сообщениями, и если да, то как часто (ОДИН ответ)?","20. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","21. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","22. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","23. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","24. Как Вы думаете, в тех источниках, где Вы обычно узнаете новости, фейковая, недостоверная информация встречается чаще или реже, чем везде?","25. Скажите, проверяете ли Вы или нет новости на достоверность, правдивость, прежде чем поделиться ими с друзьями?","26. Назовите, пожалуйста, хотя бы одну выдуманную, фейковую новость, которая Вам запомнилась больше всего (напишите)?","27. Вспомните, попадали ли Вы за последний год в такую ситуацию, когда Вы поверили какой-либо информации?","28. Скажите, а случалось ли такое, что Вы поделились какой-либо информацией с друзьями, родственниками, знакомыми?","29. Как Вы думаете, большинство людей могут или нет отличить выдуманные, фейковые новости от правдивых, достоверных (ОДИН ответ)?","30. Как Вы думаете, Вы лично чаще всего можете или нет отличить выдуманные, фейковые новости от правдивых, достоверных (ОДИН ответ)?","31. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","32. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","33. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","34. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","35. Какие признаки, напротив, отличают правдивую, достоверную новость от выдуманной, фейковой? На что полагаетесь лично Вы (напишите)?",Великобритания,Германия,Китай,Латвия,Польша,Россия,Северная Корея,Сербия,США,Турция,Украина,Финляндия,Франция,Эстония
4.30.2023 15:26:42,23) Городской округ Саранск,Саранск,1. Саранск,2. Женский,50,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,3. Разведен (разведена),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,"Первый канал, Россия 1 Новости Вести","1. Знаю, что это такое",,3. По нескольку раз в месяц,"2. Интернет-издания (газеты, журналы, информационные порталы)",#NULL!,#NULL!,,4. Безусловно реже,2. Если есть возможность — проверяю,стараюсь не запоминать,4. Определенно нет,4. Определенно нет,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
4.28.2023 13:39:23,23) Городской округ Саранск,Саранск,1. Саранск,2. Женский,61,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,служащая,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое",,2. По нескольку раз в неделю,1. Телевидение,3. Социальные сети,5. Газеты,,2. Скорее чаще,2. Если есть возможность — проверяю,,3. Скорее нет,4. Определенно нет,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
4.29.2023 16:35:30,25,Николаевка,1. Саранск,2. Женский,19,"1. Основное (до 9 классов), среднее (до 10—11 классов)","5. Студент, учащийся",#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое",Не правда,6. Затрудняюсь ответить,10. Затрудняюсь ответить,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,3. Скорее нет,3. Скорее нет,3. В большинстве случаев не могут отличить,3. В большинстве случаев не могут отличить,,#NULL!,#NULL!,#NULL!,,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»
5.10.2023 18:35:48,17) Ромодановский район,Рузаевка,2. Города и пгт,1. Мужской,57,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,Петя Первый,"1. Знаю, что это такое",Обман,6. Затрудняюсь ответить,3. Социальные сети,8. Телеграм-каналы,#NULL!,,5. Затрудняюсь ответить,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет",,3. Скорее нет,4. Определенно нет,2. В большинстве случаев могут отличить,2. В большинстве случаев могут отличить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,3. В большинстве случаев не могут отличить «фейковые новости»,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 17:12:59,17) Ромодановский район,Рузаевка,2. Города и пгт,2. Женский,37,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",3. Затрудняюсь ответить,3. Затрудняюсь ответить,0,#NULL!,#NULL!,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое",,3. По нескольку раз в месяц,1. Телевидение,3. Социальные сети,8. Телеграм-каналы,,3. Скорее реже,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет",,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.11.2023 14:45:17,15) Лямбирский район,Лямбирь,3. Села,2. Женский,63,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"2. Слышал, но подробностей не знаю",Искаженная информация,6. Затрудняюсь ответить,10. Затрудняюсь ответить,#NULL!,#NULL!,,5. Затрудняюсь ответить,4. Никогда не проверяю,,5. Затрудняюсь ответить,4. Определенно нет,1. Практически всегда могут отличить,5. Затрудняюсь ответить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 17:59:47,17) Ромодановский район,Рузаевка,2. Города и пгт,2. Женский,53,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое",,4. Несколько раз в год,1. Телевидение,5. Газеты,6. Радио,,4. Безусловно реже,1. Обязательно проверяю,,5. Затрудняюсь ответить,3. Скорее нет,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
4.18.2023 11:25:28,25,Саранск,1. Саранск,1. Мужской,25,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",3. Затрудняюсь ответить,3. Затрудняюсь ответить,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,"1 канал, известия мордовии",4. Затрудняюсь ответить,,6. Затрудняюсь ответить,10. Затрудняюсь ответить,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 18:23:08,17) Ромодановский район,Левжа,3. Села,2. Женский,35,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,"рбк, финам, маркет твитс, коган, фин думки","1. Знаю, что это такое","в двух трех словах)) ну это клевета на медийных рельсах) ну или сплетня, как посмотреть)",3. По нескольку раз в месяц,3. Социальные сети,"4. Друзья, родные, знакомые",8. Телеграм-каналы,,2. Скорее чаще,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет","ракета в польше, которая упала на трактор) господи, как все тогда пересрались!",4. Определенно нет,4. Определенно нет,2. В большинстве случаев могут отличить,1. Практически всегда могут отличить,,#NULL!,#NULL!,#NULL!,,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»
4.14.2023 12:10:44,25,Саранск,1. Саранск,2. Женский,42,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",2. В отношениях с людьми следует быть осторожными,3. Затрудняюсь ответить,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое","являются вымыслом, ложью",6. Затрудняюсь ответить,1. Телевидение,5. Газеты,8. Телеграм-каналы,,5. Затрудняюсь ответить,2. Если есть возможность — проверяю,,3. Скорее нет,3. Скорее нет,3. В большинстве случаев не могут отличить,3. В большинстве случаев не могут отличить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
4.13.2023 18:46:54,16) Рузаевский район,Ромоданово,3. Села,1. Мужской,33,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"2. Слышал, но подробностей не знаю",Ложные новости,6. Затрудняюсь ответить,3. Социальные сети,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,2. Скорее да,2. Скорее да,2. В большинстве случаев могут отличить,2. В большинстве случаев могут отличить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.12.2023 16:54:26,17) Ромодановский район,Трускляй,3. Села,1. Мужской,33,"3. Среднее профессиональное (техникум, колледж)",7. Безработный,#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"2. На питание денег хватает, но одежду, обувь купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,4. Затрудняюсь ответить,"""Затрудняюсь ответить",#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
4.29.2023 3:09:38,23) Городской округ Саранск,г. Саранск,1. Саранск,2. Женский,55,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"2. На питание денег хватает, но одежду, обувь купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"2. Слышал, но подробностей не знаю",,6. Затрудняюсь ответить,10. Затрудняюсь ответить,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
7.10.2023 17:39:18,3) Атяшевский район,Атяшево,3. Села,2. Женский,60,"3. Среднее профессиональное (техникум, колледж)",2. Работаю по найму в коммерческой сфере,#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое",Недостоверная информация,5. Не сталкивался,"9. Не сталкивался с выдуманными, фейковыми новостями",#NULL!,#NULL!,,5. Затрудняюсь ответить,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет",,3. Скорее нет,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 19:10:10,17) Ромодановский район,Рузаевка,2. Города и пгт,2. Женский,39,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,3. Разведен (разведена),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,3. В первый раз слышу,Фальшивые новости,6. Затрудняюсь ответить,"4. Друзья, родные, знакомые",8. Телеграм-каналы,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,,3. Скорее нет,3. Скорее нет,2. В большинстве случаев могут отличить,2. В большинстве случаев могут отличить,,#NULL!,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 18:19:40,17) Ромодановский район,Рузаевка,2. Города и пгт,2. Женский,34,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"5. На автомобиль денег хватает, но квартиру или дом купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,Россия 1,"1. Знаю, что это такое","Это новости, которые предоставляют ложную информацию",6. Затрудняюсь ответить,3. Социальные сети,#NULL!,#NULL!,,3. Скорее реже,2. Если есть возможность — проверяю,,4. Определенно нет,4. Определенно нет,1. Практически всегда могут отличить,2. В большинстве случаев могут отличить,,#NULL!,#NULL!,#NULL!,,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»
